symbol,close,open,high,low,volume
360ONE.NS,1101.8,1134.3,1135.1,1025.1,1075542
3MINDIA.NS,34525,34390,34885,33705,1132
AADHARHFC.NS,480.95,491.5,493,472,463545
AARTIIND.NS,370.7,371.95,374.55,367,405994
AAVAS.NS,1447,1457.1,1475.9,1436.6,42601
ABB.NS,5437,5531,5620,5255.5,287431
ABBOTINDIA.NS,27245,27690,27690,27060,1799
ABCAPITAL.NS,329.2,340.6,342.85,326,4045667
ABFRL.NS,64.78,67,67.49,64,2167026
ABLBL.NS,102.97,105.4,106.15,102.27,389531
ABREL.NS,1233.9,1279.7,1289.1,1222.2,148796
ABSLAMC.NS,759.7,751,769.65,742.15,118170
ACC.NS,1620.8,1654,1670,1614.2,126502
ACE.NS,887.3,855,909.95,836.1,819928
ACMESOLAR.NS,221.64,227.9,231.82,217.25,327071
ADANIENSOL.NS,845.75,885.6,906.5,842,908084
ADANIENT.NS,1942.8,2021,2039.8,1931,1802165
ADANIGREEN.NS,806.8,854.5,861.45,796.65,3622961
ADANIPORTS.NS,1344.9,1419.8,1453.9,1325,1975061
ADANIPOWER.NS,132.85,136.5,139.86,131.95,10156494
ADVENTHTL.NS,204.26,197,214.52,197,227615
AEGISLOG.NS,698.8,723,723,690.6,159084
AEGISVOPAK.NS,234.63,233.98,239,220.5,738771
AFCONS.NS,333.2,331.8,346.8,331,425227
AFFLE.NS,1595.4,1577.2,1683.9,1534.1,769991
AGARWALEYE.NS,443.05,431.65,463.95,428,386263
AIAENG.NS,3996.4,3901.1,4029.5,3802.4,18798
AIIL.NS,493.7,500,511,490,129897
AJANTPHARM.NS,2807,2813,2827,2745.3,47489
AKUMS.NS,445.15,440.45,456,433,128625
AKZOINDIA.NS,2724.7,2800,2812.4,2658.7,26526
ALKEM.NS,5565,5690,5707.5,5506,23989
ALKYLAMINE.NS,1545.4,1560,1576.2,1540,19487
ALOKINDS.NS,15.02,15.24,15.8,15,10219545
AMBER.NS,5993,5775,6088,5716,561660
AMBUJACEM.NS,497.35,511,521.55,495.45,2066980
ANANDRATHI.NS,2897.5,2875,2944.6,2835,168118
ANANTRAJ.NS,531.05,505.5,576,498.55,34744604
ANGELONE.NS,231.3,251.8,252.21,219.95,4203788
APARINDS.NS,8060.5,7950.5,8084.5,7749.5,38306
APLAPOLLO.NS,2048.9,2040.1,2072.9,2036.6,989633
APLLTD.NS,786.15,783.2,801.1,771,29768
APOLLOHOSP.NS,6948,7007,7062,6886,255106
APOLLOTYRE.NS,487.45,490,492,484.75,119426
APTUS.NS,268.2,277,277,265.8,235142
ARE&M.NS,827,839.95,853.55,820.4,301102
ASAHIINDIA.NS,994.6,1001.8,1007.2,974.5,74740
ASHOKLEY.NS,189.06,196.68,198.4,187.5,6590542
ASIANPAINT.NS,2357,2439,2439,2343.1,801746
ASTERDM.NS,570.4,543.35,574.4,538.25,414774
ASTRAL.NS,1463.8,1474,1495.7,1433.1,233276
ASTRAZEN.NS,8599,8455,8675,8455,4376
ATGL.NS,517.9,529.8,530.45,514.5,368291
ATHERENERG.NS,626,621,637.1,605.5,734872
ATUL.NS,5996,6292,6292,5970.5,8426
AUBANK.NS,979.6,982.35,990.6,942.75,1050237
AUROPHARMA.NS,1172.1,1208,1209.1,1163.1,744670
AWL.NS,208.33,213.97,214.45,207.5,761593
AXISBANK.NS,1340.4,1373.2,1384.9,1332.1,3021528
BAJAJ-AUTO.NS,9499.5,9788.5,9855,9175.5,504289
BAJAJFINSV.NS,1908.8,1945.1,1952.6,1899.2,872943
BAJAJHFL.NS,89.73,92.15,93.49,88.5,8487599
BAJAJHLDNG.NS,10521,10800,10800,10453,16670
BAJFINANCE.NS,902.35,930.8,935,888.55,3830308
BALKRISIND.NS,2298.2,2314.6,2319,2275.3,80502
