symbol,close,open,high,low,volume
360ONE.NS,1135.3,1140,1166,1132,1168016
3MINDIA.NS,34615,35050,35895,34485,6328
AADHARHFC.NS,496.7,495,504,492.05,224744
AARTIIND.NS,489.1,504,516.95,485.1,11292862
AAVAS.NS,1359.8,1360.1,1370.4,1346.2,27076
ABB.NS,7284.5,7350.5,7485,7201.5,348950
ABBOTINDIA.NS,27800,27505,27880,27430,6208
ABCAPITAL.NS,404.3,396.9,413,396.1,10947542
ABFRL.NS,60.24,59.59,61.85,58.44,14239491
ABLBL.NS,94.67,95.5,95.95,94.32,849945
ABREL.NS,1418.1,1378.1,1471.2,1372.1,267520
ABSLAMC.NS,1011.8,1012,1022.2,1002.2,266022
ACC.NS,1357.4,1359,1373.7,1351,136288
ACE.NS,1070.3,1065,1074.5,1053,297207
ACMESOLAR.NS,362.6,363.95,367.5,359.1,1446698
ADANIENSOL.NS,1645.4,1666,1682,1628.8,1779312
ADANIENT.NS,3009.5,3051,3067.5,3002.4,866401
ADANIGREEN.NS,1383,1368.8,1397,1353,1571946
ADANIPORTS.NS,1696.5,1674,1708.1,1650,4703646
ADANIPOWER.NS,211.31,209.98,212.68,209.11,15216198
ADVENTHTL.NS,147.67,148.05,149.35,146.51,41985
AEGISLOG.NS,1280.8,1249,1291.4,1222.3,832634
AEGISVOPAK.NS,290.16,294.8,295.47,288,843953
AFCONS.NS,271.15,273,274.95,269.7,1007153
AFFLE.NS,1586,1634.6,1634.6,1578.1,303279
AGARWALEYE.NS,478,481.5,490,473.95,43758
AIAENG.NS,4591,4563.5,4624,4484,131078
AIIL.NS,539.3,546.5,559.6,536.6,111238
AJANTPHARM.NS,3465.2,3480.1,3498,3350,211274
AKUMS.NS,658.35,661.9,663.9,653.6,82455
ALKEM.NS,5751.5,5825,5833,5735,116595
ALKYLAMINE.NS,1785.6,1790.8,1841,1771.4,74745
ALOKINDS.NS,11.92,11.87,11.96,11.82,1657064
AMBER.NS,7440.5,7400,7534.5,7395,161195
AMBUJACEM.NS,432.2,435.2,438.95,430.25,1202393
ANANDRATHI.NS,2073.7,2046,2089,2046,153712
ANANTRAJ.NS,624.5,613.1,632.4,608.5,4084776
ANGELONE.NS,297.95,293,299.95,292.5,4626956
APARINDS.NS,14348,13935,14502,13889,181364
APLAPOLLO.NS,1819.5,1908,1908,1805,883345
APLLTD.NS,797.05,802.75,805.85,793.25,50542
APOLLOHOSP.NS,8957,9025,9036.5,8931,268253
APOLLOTYRE.NS,428.15,427,433,423.5,1442747
APTUS.NS,261.2,277.5,288.4,256,5845612
ASAHIINDIA.NS,876.55,872.15,889.85,871.25,116454
ASHOKLEY.NS,166.18,159.9,166.7,159.17,47542706
ASIANPAINT.NS,2747.3,2773.9,2774.9,2732.4,891738
ASTERDM.NS,822.15,813.2,827.35,799.2,411488
ASTRAL.NS,1448.6,1470.9,1471.9,1444,349000
ASTRAZEN.NS,8100,8065,8200,8027,136143
ATGL.NS,651.45,651.55,657.5,647.75,460460
ATHERENERG.NS,1260.3,1247,1274.6,1232.1,3182495
ATUL.NS,6736.5,6820,6871.5,6703,48819
AUBANK.NS,1047.3,1035,1057.4,1034.9,2215780
AUROPHARMA.NS,1580.2,1582.9,1588.5,1566.1,440498
AWL.NS,189.44,199.9,199.9,188.45,13726473
AXISBANK.NS,1229.5,1226.2,1239.7,1226,7487936
BAJAJ-AUTO.NS,11520.5,11475,11590,11329.5,214380
BAJAJFINSV.NS,2029.1,1932,2036.6,1930,3731886
BAJAJHFL.NS,86.02,86.96,87.75,85.8,6273809
BAJAJHLDNG.NS,11343,11000,11467,10951,89978
BAJFINANCE.NS,1141.2,1095,1151.5,1083.6,40814590
BALKRISIND.NS,2473.5,2329.5,2511.2,2321,3395027
BALRAMCHIN.NS,586.2,592.45,606,582.15,526328
BANDHANBNK.NS,174.13,173.4,175.4,173.28,7033133
BANKBARODA.NS,242.6,243,244.5,242.1,7775343
BANKINDIA.NS,137.95,138,138.68,136.87,5768166
BASF.NS,3633.8,3687.9,3714,3613.5,17332
BATAINDIA.NS,696.15,695,701.9,691.15,133918
BAYERCROP.NS,4234.4,4247.6,4264.9,4188.2,27626
BBTC.NS,1497.1,1493.3,1502,1485.4,20919
BDL.NS,1253.1,1247,1264.8,1247,381704
BEL.NS,387.85,385.00,390.60,385.00,17114563
BEML.NS,1750.4,1770,1799.2,1741.7,174492
BERGEPAINT.NS,520.45,524.95,524.95,515.4,241120
BHARATFORG.NS,2199.8,2164.7,2212.6,2161.5,952103
BHARTIARTL.NS,1972,1969,1976.4,1947.4,6529385
BHARTIHEXA.NS,1607.5,1635,1644.9,1598.1,185923
BHEL.NS,407,406,412.35,405.95,6869187
BIKAJI.NS,641.65,646,648.35,636.65,35951
BIOCON.NS,425.7,425.95,428.25,422.9,2304756
BLS.NS,239.4,239.8,241,236,1117132
BLUEDART.NS,5160.3,5025.9,5185,4993,39069
BLUEJET.NS,626.25,618,629.05,611,2120870
BLUESTARCO.NS,1681.2,1695.5,1721.1,1672,187632
BOSCHLTD.NS,41085,41590,41715,40920,19054
BPCL.NS,319.75,316.05,320.4,314.4,5111067
BRIGADE.NS,580.2,565.55,582,565,678597
BRITANNIA.NS,5416.5,5445,5460,5364,428290
BSE.NS,3646.2,3538.5,3652.5,3517,2753390
BSOFT.NS,302.4,303.95,305.4,298.7,1231190
CAMPUS.NS,222.35,221.45,226.8,218.59,925287
CAMS.NS,796.15,793.15,807.6,787.1,928480
CANBK.NS,124.98,124.99,125.44,124.25,13392650
CANFINHOME.NS,820.6,818.9,824.6,816.3,77685
CAPLIPOINT.NS,2516.8,2536.3,2538,2495.8,52768
CARBORUNIV.NS,1063.8,1059.9,1085,1048.2,196536
CASTROLIND.NS,185.21,185.15,185.61,184.93,866970
CCL.NS,1155.3,1175.2,1183.5,1145,197422
CDSL.NS,1333,1338,1348,1330,745681
CEATLTD.NS,3429.9,3451.8,3457.7,3412.6,99761
CENTRALBK.NS,30.97,31.04,31.14,30.93,4785076
CENTURYPLY.NS,799.5,793,828,789,764661
CERA.NS,6126,6095,6175,6093.5,3499
CESC.NS,165.57,165.46,165.95,163.62,694292
CGCL.NS,232.38,221.11,234.98,219.91,6853392
CGPOWER.NS,863.4,850,878.8,850,6863390
CHALET.NS,811.4,806.75,813.9,792.85,82504
CHAMBLFERT.NS,438.9,443,448.2,436.25,857422
CHENNPETRO.NS,1260.6,1248,1274,1222.3,1502352
CHOICEIN.NS,822.95,799.85,830.5,797,1389037
CHOLAFIN.NS,1849.9,1787.8,1863.1,1779.4,2944385
CHOLAHLDNG.NS,1534.2,1506,1551.3,1504,468590
