symbol,close,open,high,low,volume
JSWSTEEL.NS,1302,1334.3,1335,1301,1276231
JUBLFOOD.NS,475.4,482,484.2,472.1,391181
JUBLINGREA.NS,675.35,680.7,684.95,669.15,107000
JUBLPHARMA.NS,950.3,928,954.2,918,317471
JWL.NS,244.99,243.24,248.4,243.24,625971
JYOTHYLAB.NS,195.1,203,203,194.2,906846
JYOTICNC.NS,1020.65,1002.5,1024.85,998.05,927422
KAJARIACER.NS,1220.5,1235,1239.6,1215,124971
KALYANKJIL.NS,591,600,602.75,590,3808474
KARURVYSYA.NS,341.7,348,351.2,341,1235358
KAYNES.NS,3604,3588.8,3734.8,3571.1,1148533
KEC.NS,401.65,408.55,409.8,399.55,720450
KEI.NS,4704,4850,4871,4678,1220350
KFINTECH.NS,922.50,928.80,932.80,918.05,301718
KIMS.NS,764.55,760,770.6,758.1,135387
KIRLOSBROS.NS,1832.4,1862,1869.3,1825,26166
KIRLOSENG.NS,2174.8,2180,2218.5,2156.5,237548
KOTAKBANK.NS,422.1,421.8,425.7,421,7148641
KPIL.NS,1424.4,1406.6,1427.9,1400.1,96907
KPITTECH.NS,562.25,575.85,575.9,560,1316814
KPRMILL.NS,1154.7,1180,1182,1144.4,204839
KSB.NS,801.45,822,822,799.45,91474
LALPATHLAB.NS,1901.9,1880,1913,1870.1,191362
LATENTVIEW.NS,261.7,266.25,268.55,258.75,522059
LAURUSLABS.NS,1876.7,1840,1876.7,1832.7,1148664
LEMONTREE.NS,107.28,105.49,107.49,105.38,3117893
LICHSGFIN.NS,552,563.15,567.6,548,1618855
LICI.NS,411.5,418.7,419.6,410.25,2694855
LINDEINDIA.NS,6372.5,6346,6394.5,6300.5,14317
LLOYDSME.NS,1803,1820,1823,1801.1,257764
LODHA.NS,1200,1231.9,1231.9,1200,410768
LT.NS,3999,3962,4004.9,3960.9,1256683
LTF.NS,312.5,314,315.3,310.9,2068591
LTFOODS.NS,448.95,443.8,454.95,440,729443
LTTS.NS,3414.2,3470,3484.8,3400.1,64566
LUPIN.NS,2105,2121.1,2135.5,2095.6,819621
MAHABANK.NS,85,86.1,87.5,84.7,12286857
MAHSCOOTER.NS,13493,13602,13628,13400,3534
MAHSEAMLES.NS,688.95,691,717.8,676.95,911812
MANAPPURAM.NS,325.6,332.35,332.35,323.15,9089525
MANKIND.NS,2318,2317,2331.6,2303.5,153500
MANYAVAR.NS,586.25,597.1,598.2,583.55,271674
MAPMYINDIA.NS,976,980,982,963.8,80595
MARICO.NS,806,815.15,819.05,802.5,717139
MARUTI.NS,12760,12691,12833,12618,413778
MAXHEALTH.NS,992,983,994.9,974,1854549
MAZDOCK.NS,2454.2,2490,2505.3,2434.1,535900
MCX.NS,3330.2,3276.9,3374.4,3276.9,1889368
MEDANTA.NS,1422.6,1474.1,1481.2,1420.4,204437
METROPOLIS.NS,577.75,588.7,588.7,574.4,174730
MFSL.NS,1520,1537.5,1544.3,1510,938109
MGL.NS,1092.1,1097,1105,1088.1,99788
MINDACORP.NS,695.55,690.05,700.15,690.05,134028
MMTC.NS,63.82,64.5,64.62,63.5,1021196
MOTHERSON.NS,162,160.5,164.65,160.12,15669796
MOTILALOFS.NS,1055,1037,1058.9,1031.4,1551861
MPHASIS.NS,2369.1,2409.9,2409.9,2340.3,382610
MRF.NS,128890,130200,130300,128705,3771
MRPL.NS,173.19,175.7,176.88,172.25,2388877
MSUMI.NS,36.9,36.35,37.05,36.27,7282689
MUTHOOTFIN.NS,2880,2899,2920,2871.2,370903
NAM-INDIA.NS,1195,1158.8,1196,1152,1817884
NATCOPHARM.NS,838.3,829,841.5,828,301243
NATIONALUM.NS,365.9,376.05,377.5,365.9,3280288
NAUKRI.NS,1302.5,1319,1321.8,1284.4,856453
NAVA.NS,556.25,563,563,554.1,118784
NAVINFLUOR.NS,8603.5,8557.5,8649,8532.5,76404
NBCC.NS,86,86.32,86.59,85.62,1862601
NCC.NS,150.67,149.7,153.33,146.56,3434160
NESTLEIND.NS,1398,1401,1405.7,1392.9,897310
NETWEB.NS,5157,5215,5306.5,5135,975374
NEULANDLAB.NS,22870,22565,22960,22415,22291
NEWGEN.NS,520.7,524.8,526.3,515.9,537213
NH.NS,1911.8,1867.8,1920,1867.8,329018
NHPC.NS,76,76.25,77.05,75.55,8825125
NIACL.NS,231.2,233.9,242.6,224.31,23442397
NIVABUPA.NS,80.67,80.1,81.25,80,337165
NLCINDIA.NS,269.3,275.8,278,268.3,1349980
NMDC.NS,83.85,85.29,85.63,83.54,15859358
NSLNISP.NS,45.87,46.65,46.98,45.44,5748765
NTPC.NS,332,332.5,333.8,330.35,5245813
NTPCGREEN.NS,88.16,89.39,89.5,88.06,1311104
NUVAMA.NS,1832.4,1815.6,1859,1815,217617
NUVOCO.NS,345.1,352.85,353.45,341,863221
NYKAA.NS,332.7,331,339.75,330.1,4285910
OBEROIRLTY.NS,1847.5,1876,1885.5,1847.5,206196
OIL.NS,487,490.8,492.75,481.45,2811694
OLAELEC.NS,37.96,38,38.7,37.43,28426081
OLECTRA.NS,1207.4,1229,1238,1203.5,266992
ONESOURCE.NS,1552.3,1552.9,1573,1530,140096
ONGC.NS,233.7,235.98,235.98,232.77,5391548
PAGEIND.NS,35825,36300,36495,35625,11706
PATANJALI.NS,340.9,344,344,336.15,1977606
PAYTM.NS,1664,1659.6,1669.3,1642,1822600
PCBL.NS,317.45,316,322.8,313.35,1125415
PERSISTENT.NS,5540,5610,5622,5522,404979
PETRONET.NS,290.95,288.1,293.8,288.1,1737649
PFC.NS,353.1,355.75,359.15,353,6560499
PFIZER.NS,4596.5,4598.8,4610,4557,17548
PGEL.NS,559.55,560,564.65,554.5,667138
PGHH.NS,7634.5,7669,7719.5,7602,10292
PHOENIXLTD.NS,1905,1942,1942,1899.1,253740
PIDILITIND.NS,1575,1625.9,1628.9,1575,591643
PIIND.NS,2430,2454,2468.5,2428,104432
PNB.NS,115.6,116.41,117.17,115.55,11062919
PNBHOUSING.NS,1182.1,1166,1188.9,1163.7,721594
POLICYBZR.NS,1792,1830,1843.2,1752.3,1228810
POLYCAB.NS,8261,8310,8361.5,8175,568946
POLYMED.NS,1701.1,1705,1767.8,1695.1,193636
POONAWALLA.NS,459.15,468,468.05,456.3,452170
POWERGRID.NS,266.45,266,268.8,264.25,7015606
POWERINDIA.NS,31775,31635,32175,31635,50681
PPLPHARMA.NS,219.66,214.23,221.8,213.12,6407335
PRAJIND.NS,336.55,334.00,344.00,333.60,380568
PREMIERENE.NS,990,999.7,1006.6,987,543434
PRESTIGE.NS,1550,1595,1595,1550,231985
PTCIL.NS,23755,23770,24030,23505,29308
PVRINOX.NS,1156.5,1199.1,1199.1,1125.7,3208552
RADICO.NS,4444,4470,4496,4433,110526
RAILTEL.NS,270.05,271,274.5,268.05,399954
RAINBOW.NS,1469.9,1447.2,1487.6,1442,115787
RAMCOCEM.NS,871.5,884.55,890,868,156814
RBLBANK.NS,415,416,418.25,407.85,3484526
RCF.NS,113.92,115.02,115.4,113.52,870216
RECLTD.NS,316.4,319,321.4,316.05,3769684
REDINGTON.NS,378.2,371.05,381.6,370,5166393
RELIANCE.NS,1309.5,1323.1,1324.2,1301.9,10210522
RHIM.NS,373.8,371.8,375.15,369,150341
RITES.NS,215.8,215.8,217.94,214.11,244159
RKFORGE.NS,706.25,700,711,691,698070
RPOWER.NS,21.94,22.08,22.52,21.73,19788828
RRKABEL.NS,2387.1,2430.8,2484,2353.7,1299097
RVNL.NS,210.05,215.08,216.45,209.36,12205275
SAGILITY.NS,45.95,46.82,46.97,45.88,9292276
SAIL.NS,187.9,196.99,196.99,187.3,32633382
SAILIFE.NS,1579.6,1590,1599.8,1567.4,456700
SAMMAANCAP.NS,155.92,159.2,159.2,154.6,4790140
